Comment,Label,Language
😅😅😅😅😂😂😂😂 একটু হেঁসে নিলাম 😅😅😂😂,Negative,BANGLA
আদু ভাই এখন নিজেই উধাও হয়ে গেছে 😂😂,Negative,BANGLA
বাংলাদেশের যত স্কুল কলেজ আছে প্রত্যেকটা স্কুল কলেজে রাজনৈতিক নিষিদ্ধ করা দরকার সরকারের কাছে এই আহ্বান থাকবে,Positive,BANGLA
প্রাইভেট বিশ্ববিদ্যালয়ের ছাত্র ও শিক্ষকদের অবদান ছিল অসীম ❤❤❤,Positive,BANGLA
ফুউউউউউউউউউউউউউউ😂😂😂😂😂,Negative,BANGLA
"বাংলাদেশ ছাত্রলীগ এবং ছাত্রদল যে ব্যাক্তি পরিচর দিবে তাদের কে আগে মারতে হবে তারপর তাদের সঙ্গে কথা। কারণ প্রথমে ছাত্রলীগ এবং ছাত্রদল,  পরে লাঠিয়াল লীগ, লাঠিয়াল দল। 😊",Negative,BANGLA
এখন  বাতিজা কোথায়  তুমি?,Negative,BANGLA
তারা ছাত্রলীগ না তারা সন্ত্রাস লীগ,Negative,BANGLA
তোদের পাদ দিএ উরিয়ে দিয়েসে জনগণ 😂😂,Negative,BANGLA
এখন তারা রূপ পরিবর্তন করে সুশীল রূপ ধারণ করেছে।,Negative,BANGLA
যাদের জন্মের ঠিক নেই যাদের বাবা রিকসা চালায় মা বুয়া গিরি করে সংসার চালায় তারাই ছাত্রলীগ করে আওয়ামী লীগ kore,Negative,BANGLA
"ওদের ফুতে ওরাই উড়ে গিয়ে, একেবারে গংগায় পড়েছে । 😢",Negative,BANGLA
এই চোরগুলো এখন কই???,Negative,BANGLA
সাদ্দাম রে ১০০ দিনের রিমান্ড দেওয়া হোক,Negative,BANGLA
সাদ্দাম হোসেন আর আতিকা কে বিচার করা হোক।,Negative,BANGLA
ছাত্র লীগ  মানেই ফুটফুটে সুন্দর।,Negative,BANGLA
সাদ্দাম হয়ছে খনিকের ছেলে,Negative,BANGLA
এই কূ কূ র এখন কৈ?,Negative,BANGLA
আসো ভাই খেলি,Negative,BANGLA
এইসব রাজনৈতিক চোরদের কারনে দেশের এ অবস্থা,Negative,BANGLA
ওরা ছিলো সন্ত্রাসী লীগ,Negative,BANGLA
ফু😂,Negative,BANGLA
আমি ডুবাই থেকে কসম করে বলছি যে সাদ্দামকে ধরতে পারবে তাকে আমি ৫০ হাজার টাকা উপহার দিব,Negative,BANGLA
সাদ্দাম কে শাহবাগে চায়ের দাওয়াত রইলো,Negative,BANGLA
এখন এদের এক এক করে ধরেন....,Negative,BANGLA
হাসিনার তার দালালদের সবার বিচার করতে হবে,Negative,BANGLA
"ভাই এখানে রাম রাজত্ব হবে না,এখানে হবে শেখ রাজত্ব।",Negative,BANGLA
সাংগাতিক নিউজ 😂🥱,Negative,BANGLA
"ওদের অস্থিত্ব বিলিন করে দিলাম,,,খুনের প্রতিসোধ এটাই,",Negative,BANGLA
আদু ভাই মামা ভারি পলাইছে,Negative,BANGLA
আল্লাহ শয়তানদের বিচার করেছে,Negative,BANGLA
সাদ্দাম আর ইনান এই দুইটাকে ধরতে হবে। ধরার পর বুড়িগঙ্গার পানিতে চুবানো হবে। এরপর জয়েন্ট থেরাপি দেয়া হবে।,Negative,BANGLA
সাদ্দাম হালা কই,Negative,BANGLA
সাদ্দাম তো বলছেই তার জন্ম রাজপথে 🤣,Negative,BANGLA
"হায়রে হায় মির্জা ফকরুল হায়রে হায় টিভি দেখেলাম খালি দৌড়াচ্ছে..! 
ডায়ালগ টি কায়..?",Negative,BANGLA
ছাত্র ভাইদেরকে বলছি আপনারা ছাত্রলীগের লিস্ট করেন।এরপর লিস্ট দেখে দেখে চাইজ করেন।ঢাকা কে লীগ মুক্ত করেন প্লিজ,Negative,BANGLA
"শুধু বিশ্ববিদ্যালয় কে ক্রেডিট দিয়েন না,,সাধারণ মানুষ থেকে শুরু করে মাদ্রাসার ছাত্র দের ভূমিকা ছিল",Positive,BANGLA
ছাত্রলীগ রাজাকাররা আজ দেশ ছেড়ে পালাইছে😂😂,Negative,BANGLA
এদের চিহ্নিত করে করে ধরদ হোক,Negative,BANGLA
আমরা ছাত্রলীগ এবং আওয়ামীলীগ মুক্ত বাংলাদেশ চাই,Negative,BANGLA
এদের কঠিন শাস্তির আওতায় এনে দৃষ্টান্ত মূলক শাস্তি দেওয়া হোক,Negative,BANGLA
এদের কে ধরিয়ে দিন,Negative,BANGLA
হেমলেট বাহিনী কি কয়😂,Negative,BANGLA
বোরকা বাহিনি,Negative,BANGLA
ছাত্রলীগ এখন আফসোস লীগ রূপে অনলাইনে বিচরণ করছে😂😂,Negative,BANGLA
ফুঁ উল্টা পাশে কাজ করছে 😂😂😂 নিজেই 😂😂😂,Negative,BANGLA
এই গানকির পোলা সাদ্দাম এখন কোথায়,Negative,BANGLA
সাদ্দাম হোসেন তুমি কই ঠিকানা টা দাও সোনা মনি।,Negative,BANGLA
তোরা কৈ গেলি রে তোদের মা।চলে গেল রে,Negative,BANGLA
আদু ভাই আয় তুই,Negative,BANGLA
এখন ইদুরের ফুটায় পালাইছে😂😂,Negative,BANGLA
"সাদ্দামে দেখা পাইলাম না। শিশু বাচ্চার মুখের ভাষা শুনে আমি অবাক হয়ে যায়, বলে কি এই বেয়াদব ছেলে।",Negative,BANGLA
ওদের খোঁজ দিন প্রতিশোধ নিন✊✊✊,Negative,BANGLA
ওর ওই ফুঁর বাতাস পাচা দিয়ে বের হয়ে গেছে😅😅😅😅,Negative,BANGLA
ডিম থেরাপি দেওয়া দরকার,Negative,BANGLA
❤❤❤ এদের কঠিন বিচার চাই,Negative,BANGLA
ওদের মা-বাবারেও শাস্তির আওতায় আনা উচিত,Negative,BANGLA
প্রাইভেট বিশ্ববিদ্যালয়ের ছাত্রদের ভুলে গেলে হবে না। ওদের মূল্যায়ন করতে হবে।,Positive,BANGLA
হৈ হৈ রৈ রৈ সাদ্দাম রা গেল কই?,Negative,BANGLA
কোথায় গেল এখন?  এদের খুঁজে বের করা হোক,Negative,BANGLA
সাদ্দাম ফিরবে আবার চোরের বেশে 😂,Negative,BANGLA
"প্রবাসী দের, বেসরকারী ইউনিভার্সিটি গুলো ছাত্রদের অনেক ধন্যবাদ",Positive,BANGLA
ধন্যবাদ,Negative,BANGLA
লীগ মানেই বিপদ,Negative,BANGLA
2M শুভেচ্ছা ❤❤,Positive,BANGLA
যেখানেই ছাত্রলীগ সেখানেই গনধোলাই,Negative,BANGLA
ছাত্রলীগের জারজেরা কোথায় এখন?,Negative,BANGLA
কিরে সাদ্দাম তুই এখন  পালালি কোথায়।,Negative,BANGLA
😂😂😂পলাইছে রে পলাইছে,Negative,BANGLA
পুলিশ না থাকলে ৫ সেকেন্ড টিকতে পারবেনা আওয়ামী লীগ 😡😡😡,Negative,BANGLA
সাদ্দাম বাবু কই😅😅😅😅,Negative,BANGLA
ছাত্র দের ফু দিতেই নিজেরাই ফু হয়ে গেল।,Negative,BANGLA
সব পালাইছে😂,Negative,BANGLA
এখন কই তোরা বানের জলের মতো ভেসে কোন বৃন্দাবনে গেছিস। আয় দেখে যে স্টুডেন্ট পাওয়ার কাকে বলে। কে কাকে কিভাবে শিক্ষা দিয়েছে দেখ।,Negative,BANGLA
"ভাবা যায় এই আওয়ামী কে ছাত্র সমাজও ভয় পেত,,,,, ভাবুন একবার, তারা কতো ভয়ঙ্কর ছিল ।",Negative,BANGLA
ফু দিবার আগে ছাএলীগ নাই,Negative,BANGLA
আদুভাই।কোথায়।সব মেয়েতো আত্মা হত্যা করেতেছে। এত গুলো বউ রেখে কোথায় লুকিয়ে আছ,Negative,BANGLA
আজকে যদি কোটা সংস্কার রক্তের বিনিময়ে না হইতো তাইলে কী ছাত্রলীগ এর অংশীদার হতো না?? ওরা কিভাবে ছাত্র হয়ে ছাত্রের ওপর গুলি চালাতে??😡😡😡,Negative,BANGLA
তারা নিজেরাই উড়ে গিয়েছে 😂,Negative,BANGLA
আদু ভাই সাদ্দাম হোসেন কি জীবনে আর গ্রাজুয়েশন কমপ্লিট করতে পারবে????,Negative,BANGLA
সাধারণ ছাত্ররা পাদ দিয়েই ছাএলিগকে উড়িয়ে দিয়েছে।,Negative,BANGLA
নটির ছেলে কই এখন?????😂😂😂,Negative,BANGLA
ও গেলো কোথায় 😂😂😂😂,Negative,BANGLA
তাদের জায়গায় বাংলাদেশে হলো না 😂😂😂,Negative,BANGLA
সাংবাদিককে ধন্যবাদ,Positive,BANGLA
ইনান কই সাদ্দাম কই,Negative,BANGLA
আদু ভাই,Negative,BANGLA
সকল বিশ্ববিদ্যালয়ের ছাত্রদের অবধান অপরিসীম,Positive,BANGLA
রাতের খাবার গুলোকে খুঁজতে গিয়ে খুঁজে পেলাম না 😂,Negative,BANGLA
ক্ষণিকের পোলা😂😅😅😅😅😅😅😅,Negative,BANGLA
"কই এখন?
এ যেন বিড়ালের মুখে বাঘের ডাক।",Negative,BANGLA
গণধোলাই ..............,Negative,BANGLA
প্রতিবন্ধী সাদ্দাম 😂 পার্ট কই তোর।,Negative,BANGLA
এদের জন্মের ঠিক নাই,Negative,BANGLA
ছাত্রলীগ নিষিদ্ধ হোক,Negative,BANGLA
আওয়ামী লীগের এই করুণ পরিণতির কারণ একমাত্র এই জারজ ছাত্রলীগ,Negative,BANGLA
"এই খাংকির বাচ্চারা এখন কই🙁🙁🙁🙁


.........",Negative,BANGLA
সীমা লঙ্ঘনকারী এই টুকাই লীগ সাদ্দাম সহ তার সকল টোকাই বাহিনীকে খুঁজে বের করে আইনের কঠিন শাস্তি প্রয়োগ করে উচিৎ শিক্ষা দিতে হবে।,Negative,BANGLA
পাবলিক বিশ্ববিদ্যালয় এর পাশাপাশি বেসরকারি বিশ্ববিদ্যালয় কলেজ মাদ্রাসার ছাত্ররাও এই আন্দোলনে জড়িত ছিল,Positive,BANGLA
ওরে বাটপার,Negative,BANGLA
"ভাতিজা কই তুমি, একটু পারলে এখন সামনে আয়।",Negative,BANGLA
"এরা শুধু মুখে যুদ্ধ করতে জানে😂মাঠে না, আর সাধারণ ছাত্ররা মুখে না মাঠেই যুদ্ধ করে",Negative,BANGLA
ছাএলীগ নিষিদ্ব করা হক,Negative,BANGLA
তাবলীগে গেছে সাদ্দাম,Negative,BANGLA
"আদলীগ কোথায় 
গুজব ফেসবুকে",Negative,BANGLA
এই বউ ছেলে এখন কই আছে,Negative,BANGLA
ঢাকা মহানগর উত্তর ছাত্রলীগের সাধারণ সম্পাদক সাগর আহমেদ শামিম কে গ্রেফতার করা হোক 🇧🇩🇧🇩🇧🇩,Negative,BANGLA
এই নাটকির পোলাদের যেখানে পাওয়া যাবে সেখানেই বানানো হবে,Negative,BANGLA
এতবড় গণহত্যার পরেও আওয়ামীলীগ সন্ত্রাসীদের দল কেন নিষিদ্ধ হবে না???,Negative,BANGLA
প্রাইভেট ইউনিভার্সিটি গুলোও গুরত্বপূর্ণ ভূমিকা পালন করেছে ।,Positive,BANGLA
শেষ দেখার আগেই শেষ করে দিয়েছে জারজলীগকে।,Negative,BANGLA
বাস্টার্ড ছাত্রলীগ,Negative,BANGLA
কইরে ছাত্রলীগ?? কি শিক্ষা জানা রয়েছে? কি করলি?,Negative,BANGLA
এই সাদ্দাম কে যেখানে পাবে গনো ধলাই দিতে হবে,Negative,BANGLA
আদু ভাই সাদ্দাম 😂😂,Negative,BANGLA
"আদু ভাই দেশে আসো,আমরা কথায় না কাজে বিশ্বাসী!",Negative,BANGLA
সাদ্দাম কোথায় আছে সবাই তার খুজ বের করেন সে কোথায় আছে তাকে সেই রকম রিভেঞ্জ দিতে হবে।,Negative,BANGLA
তথ্যবহুল নিউজের জন্য ধন্যবাদ,Positive,BANGLA
রাজপথে জন্ম নেওয়া ছাত্রলীগের এখন কোথায়,Negative,BANGLA
"সত্যের জয় হয়, মিথ্যাচার ধূলিসাৎ হয়।স্বৈরাচারের পতন হয়েছে, সাধারণ জনগণের জয় হয়েছে🇧🇩✌️",Positive,BANGLA
মাজে মাজে দুই একটার লাশ ও পাওয়া যায়। কেউ জানাযায় ও যায় না,Negative,BANGLA
পাতি নেতা সাদ্দাম।,Negative,BANGLA
এ সমস্ত ফু যারা নাকি জনগণকে রাজাকার বইলা এখনো উল্টা সুর নিচে তারা কোথায় গেছে এখন এখন ওনাদের নেত্রীয় ফালাইছে তারাও পালাইছে,Negative,BANGLA
"আমি বাংলাদশের কোনো প্রাইভেট ইউনিভার্সিটি তে পড়ি না, তবুও বলসি জোরালো ভাবে যে প্রাইভেট ইউনিভার্সিটি স্টুডেন্টসদের আন্দোলন ছাড়া এই বিজয় সম্ভব ছিল না।",Positive,BANGLA
"দা,বটি,চাপাতি, assult rifle, হাজার হাজার ছাত্রদের মারার পরেও টিকতে পারলোনা ছ্যাদালীগ।
একটারে গুলি করে একটাই মরে।বাকিরা যায়না",Negative,BANGLA
"মাশা আল্লাহ, খুব সুন্দর নিউজ।",Positive,BANGLA
সব কয় টারে  খুজে খুজে বের করা হক😊😊😊,Negative,BANGLA
বাইরে আই ভাই ৫ মিনিটের জন্য।,Negative,BANGLA
"আদু ভাই এখন কই, অরে বাপ ডাকামু",Negative,BANGLA
এই জারজ দুইটির বিচার চাই,Negative,BANGLA
হোগার গর্তে,Negative,BANGLA
ওদের আজীবন নিষিদ্ধ করা হোক,Negative,BANGLA
জিবন জন্য লীগ নিষিদ্ধ করা হক,Negative,BANGLA
ইদুরের গর্তে পালিয়েছ,Negative,BANGLA
ছাত্রলীগ নিষিদ্ধ হউক,Negative,BANGLA
হুমকীদাতারা কি তাহলে স্বর্গ ভ্রমনে চলে গেল ?,Negative,BANGLA
ছি ছি ছি  ছাএলীগ  ভুয়া ভুয়া,Negative,BANGLA
"আদুভাই, সন্ত্রাসীদের দল ছাত্রলীগ",Negative,BANGLA
ছাত্রলীগ এখন কনভার্টেড ছাত্রদল,Negative,BANGLA
প্রাইভেট বিশ্ববিদ্যালয়ের কথা কোথাও বলা হয় না অথচ আমরাই বন্ধ হওয়া আন্দোলন আবার জাগিয়ে তুলেছিলাম,Positive,BANGLA
ওই স্বৈরাচারের বাচ্চা সাদ্দাম এখন কই,Negative,BANGLA
ক্ষমতা চিরকাল থাকে না।,Positive,BANGLA
কাগুজে বাঘ 😂 সুন্দর বলেছেন।,Negative,BANGLA
ফু সাদ্দাম,Negative,BANGLA
"এখন নিজেরাই ফু ছাড়াই উড়ে গেছেন,আল্লাহ ছাড় দেন কিন্তু ছেড়ে দেন না, কথাটা আবারো অকাট্য ভাবে প্রমানিত, তোমাদের পলায়নের মাধ্যমে।",Negative,BANGLA
ছাত্র লীগ যুব লীগ তোদের অবস্থা ভয়াবহ হবে জাতির কাছে মাপ চায়,Negative,BANGLA
"উনারা এখন ইদুরের গর্তে,  সুযোগ এর অপেক্ষায় আছে",Negative,BANGLA
যাদের নাই জন্মের ঠিক তারা করে ছাত্রলীগ।,Negative,BANGLA
এগুলো ইঁদুর গর্তে ঢুকে থাকলে ওখানে থেকে বাহির করা হোক।,Negative,BANGLA
এদেরকে কঠোর শাস্তির আওতায় আনা অত্যন্ত জরুরি।,Negative,BANGLA
😂😂হালায় জোকার একটা,Negative,BANGLA
আতিকা আপু কোথাই সেটা বলেন 😅,Negative,BANGLA
"এরাতো ছাত্র লীগ নয়, এরা হচ্ছে ছেঁচড়া লীগ, যাদের অস্তিত্ব মিরপুর বেড়িবাঁধ আর ভাষানটেক বস্তিতে।",Negative,BANGLA
কি জুলুম টা না করছে এই ছাত্রলীগ,Negative,BANGLA
এই জারজের বাচ্চা কই আছে এখন,Negative,BANGLA
ধন্যবাদ কালবেলাকে,Positive,BANGLA
পেছনের চামচা গুলোর কাজ কি শুধু মাথা নাড়ানো 😂,Negative,BANGLA
হালারে ধর,Negative,BANGLA
"ছাত্রলীগের জন্মের ঠিক নাই
এদের দেখলেই খবর আছে",Negative,BANGLA
"খুঁজে খুঁজে,, নং পুশ করে পিটাও",Negative,BANGLA
তারাই এখন ফু হয়ে গোছে,Negative,BANGLA
আরে সাদ্দাম নটিরপোলা আয় না কোথায় আছিস।,Negative,BANGLA
"কিরে বন্ধুর সৈনিক তোরা না ভালো কাজ কর্তি,তাহলে পালালি কেনো",Negative,BANGLA
ছাত্রলীগ নিষিদ্ধ করা হোক,Negative,BANGLA
"অচিরেই গ্রেফতার করা হবে, ইনশাআল্লাহ",Positive,BANGLA
আয় না রে 😂,Negative,BANGLA
ফু দিয়ে উরিয়ে দিবো😂,Negative,BANGLA
৫ মিনিটে ফু দিয়ে উড়িয়ে দিবে বলে ৫ সেকেন্ডে পালিয়ে গেছে,Negative,BANGLA
এদের চেহারা বিকৃত করে দিবেন🤣,Negative,BANGLA
জুতা শুভেচ্ছা রইল।,Positive,BANGLA
যেখানে পাওয়া যাবে সেখানেই ‘ভইরা’ দেওয়া হবে ॥,Negative,BANGLA
সাদ্দামকে পাওয়া মাত্রই আচ্ছামতো গনপিটুনি দিয়ে পুলিশে দিতে হবে,Negative,BANGLA
আওয়ামী লীগকে নিষিদ্ধ করা হোক,Negative,BANGLA
এই ছাত্রলীগ নিষিদ্ধ করা হোক,Negative,BANGLA
"কালবেলা,, তুমিও কম দালালী করো নাই,হাসিনার পক্ষে।",Negative,BANGLA
পাডা দুইটা 😊,Negative,BANGLA
কাগজের বাঘ😂,Negative,BANGLA
বেডি গুলো কোথায় গেলো?,Negative,BANGLA
হটাৎ একদিন ঘুম থেকে উঠে যেনো শুনতে পাই তারা ২মাসের রিমান্ডে। 😂,Negative,BANGLA
সাদ্দামের মা বোনরে একসাথে আর কিছু কইলাম না,Negative,BANGLA
আমাদের শেষ দেখেই ছাত্রলীগ দেশ ছেড়ে চলে গেছে৷  😂😂😂 না আছে?  বের হবে? বের হও নাতি পুতিরা৷  😂😂,Negative,BANGLA
হাস্যকর,Negative,BANGLA
সাদ্দাম ইনানরা এখন কোথায়?? 😂😂,Negative,BANGLA
খেতা সাদ্দাম কই😂,Negative,BANGLA
বিলাই গুলো গেলো কোথায় কাটাঁগুলো খাবে কে!!,Negative,BANGLA
সাদ্দাম যেন দেশ পার না হতে পারে হালারপুত অনেক  মানুষকে হয়রানি করছে,Negative,BANGLA
কোন বৈধভাবে জন্ম হওয়া সন্তান কখনো ছাত্র লীগ করতে পারে না,Negative,BANGLA
ওরা এখন কোথায়,Negative,BANGLA
বান্দির পুলা ভেগে গেছে।,Negative,BANGLA
এদেরকে জলদি গ্রেফতার করে ফাঁশি দেওয়া হোক,Negative,BANGLA
"ইনান-সাদ্দাম ওরা কেউ দেশে নাই, কাঁটাতারের বেড়ার নিচ দিয়ে ৫ তারিখ-ই ওদের পিও আম্মু চলে যাওয়ার পর পলাই গেছে।",Negative,BANGLA
"ভিডিও ফুটেজ দেখে দেখে একটা একটা করে ধরা হবে, শুধু অপেক্ষা করতে হবে একটু‌।",Negative,BANGLA
আর এদিক এ ছাত্রলীগ দেখলেই জবো দেয়া হচ্ছে 😜,Negative,BANGLA
এদেরকে যেখানে যে অবস্থায় পাবেন কমপক্ষে একটা আন্ডা থেরাপি দিবেন ৷,Negative,BANGLA
এইসব জোকস শুনলে এখন হাসি পায়😂😂😂,Negative,BANGLA
ছাত্রলীগের আপুমনি রা কই 😜চামড়ার ব্যবসা কি এহনো চলে ???,Negative,BANGLA
এ দোনো হারামজাদারে আইনের আওতায় আনা হোক,Negative,BANGLA
এরা হল দেশের শএু। ছাএলীগ কখনো মানুষ হতে পারে না।,Negative,BANGLA
কুথায় কুওালীগ কুলাংগারে বাচ্চারা একন,Negative,BANGLA
ছাত্রলীগ নিষিদ্ধ করা হোক।,Negative,BANGLA
তোমারে  ধরিয়া  গরম ডিম তোমার  ভিতরে egg   🥚 হারাইমু  আর বাংলাদেশ  যে মাপিয়ারে  দরিয়া ডিম টোকাইয়ের ।,Negative,BANGLA
আমরা ছাত্রলীগ মুক্ত বাংলাদেশ চাই,Negative,BANGLA
আনসার লীগের নতুন কমান্ডার ব্রিগেডিয়ার সাদ্দাম হোসেন।🤣🐕‍🦺,Negative,BANGLA
এই বদমাশ মালায়ুন রা আজ কোথায়? এরা তো যা........ সন্তান জন্ম দেওয়া,Negative,BANGLA
সাদ্দামকে আটক করা হোক এর কঠিন বিচার করা হোক,Negative,BANGLA
ছাত্র লীগ বলে বাংলাদেশে কোনো কুকুর থাকবে না,Negative,BANGLA
আমরা ছাত্ররা যেকোন আন্দোলনে মাঠে নেমে পড়বো ইনশাআল্লাহ,Positive,BANGLA
কোথায় তোরা শুকর ছানার দল।,Negative,BANGLA
"তুই কই সাদ্দাম, একটু ক্রিকেট খেলবে ছাত্রীরা!!",Negative,BANGLA
"ভাই তুই কই আমার সামনে আয় আমার একটু ফু দিয়া উড়াইয়া দে রে ভাই আমি একটু উঠতে মন চাই রে ভাই, রামদা আর অবৈধ অস্ত্র নিয়ে তোরা অন্যায় অপরাধ  করছোস তোদের বিচারে বাংলার জমিনে হবে ইনশাআল্লাহ",Negative,BANGLA
ছাত্র লীগ বাংলাদেশের একটি সন্ত্রাসী সংগঠন,Negative,BANGLA
"কই আছিস ঘোমটা খুলে সামনে আয় না,",Negative,BANGLA
বোরকা সাদ্দাম 😄,Negative,BANGLA
আমরা চাই শুধু ছাত্র লীগ না আওয়ামী লীগটা নিষিদ্ধ হয়ে যাক,Negative,BANGLA
আওয়ামী লীগ নিষিদ্ধ করা হোক,Negative,BANGLA
লাশ পড়লে আন্দোলন জমে,Negative,BANGLA
